Speaker,Count
Formanden (Mogens Lykketoft),31891
Første næstformand (Bertel Haarder):,13019
Formanden (Thor Pedersen),10188
Formanden (Pia Kjærsgaard),6906
Den fg. formand (Bent Bøgsted):,6411
Anden næstformand (Søren Espersen):,5616
Anden næstformand (Pia Kjærsgaard):,5488
Den fg. formand (Karen J. Klint):,5136
Fjerde næstformand (Mette Bock):,4557
Første næstformand (Mogens Lykketoft):,3975
Tredje næstformand (Marianne Jelved):,3940
Fjerde næstformand (Holger K. Nielsen):,3890
Tredje næstformand (Camilla Hersom):,3862
Tredje næstformand (Christian Juhl):,3769
Tredje næstformand (Holger K. Nielsen):,3539
Fjerde næstformand (Anne Baastrup):,3213
Anden næstformand (Kristian Pihl Lorentzen):,3136
Første næstformand (Henrik Dam Kristensen):,3084
Fjerde næstformand (Helge Adam Møller):,2660
Fjerde næstformand (Per Clausen):,2551
Finn Sørensen (EL):,2394
Tredje næstformand (Lone Loklindt):,2365
Den fg. formand (John Dyrby Paulsen):,2347
Første næstformand (Helle Thorning-Schmidt):,1940
Den fg. formand (Benny Engelbrecht):,1912
Per Clausen (EL):,1887
Christian Juhl (EL):,1708
Ole Birk Olesen (LA):,1664
Simon Emil Ammitzbøll (LA):,1664
Lisbeth Bech Poulsen (SF):,1651
Joachim B. Olsen (LA):,1571
Tredje næstformand (Stine Brix):,1506
Fjerde næstformand (Steen Gade):,1442
Statsministeren (Helle Thorning-Schmidt):,1441
Martin Henriksen (DF):,1418
Den fg. formand (Erling Bonnesen):,1395
Frank Aaen (EL):,1369
Den fg. formand (Lars Christian Lilleholt):,1305
Karsten Lauritzen (V):,1235
Torsten Schack Pedersen (V):,1222
Justitsministeren (Morten Bødskov):,1182
Henning Hyllested (EL):,1178
Pernille Skipper (EL):,1161
Peter Skaarup (DF):,1130
Bent Bøgsted (DF):,1120
Kristian Thulesen Dahl (DF):,1076
Hans Kristian Skibby (DF):,1040
Jan E. Jørgensen (V):,1031
Nikolaj Villumsen (EL):,1012
Jonas Dahl (SF):,981
Pia Adelsteen (DF):,979
René Christensen (DF):,972
Dennis Flydtkjær (DF):,930
Christian Langballe (DF):,904
Eigil Andersen (SF):,892
Jacob Jensen (V):,889
Johanne Schmidt-Nielsen (EL):,872
Finansministeren (Bjarne Corydon):,868
Merete Riisager (LA):,840
Den fg. formand (Pernille Frahm):,823
Thomas Jensen (S):,821
Tom Behnke (KF):,818
Hans Andersen (V):,807
Beskæftigelsesministeren (Mette Frederiksen):,806
Karina Adsbøl (DF):,797
Rasmus Prehn (S):,779
Mike Legarth (KF):,778
Erling Bonnesen (V):,769
Brian Mikkelsen (KF):,755
Alex Ahrendtsen (DF):,739
Trine Bramsen (S):,705
Kim Christiansen (DF):,697
Benny Engelbrecht (S):,694
Søren Espersen (DF):,694
Louise Schack Elholm (V):,689
Ellen Trane Nørby (V):,685
Finansministeren (Claus Hjort Frederiksen):,679
Flemming Møller Mortensen (S):,650
Lennart Damsbo-Andersen (S):,634
Jens Joel (S):,630
Lars Barfoed (KF):,628
Statsministeren (Lars Løkke Rasmussen):,627
Nadeem Farooq (RV):,623
Rasmus Jarlov (KF):,623
Sofie Carsten Nielsen (RV):,622
Mette Bock (LA):,615
Karina Lorentzen Dehnhardt (SF):,611
Leif Lahn Jensen (S):,602
Den fg. formand (Jens Vibjerg):,599
Lotte Rod (RV):,595
Justitsministeren (Mette Frederiksen):,578
Sophie Løhde (V):,569
Pelle Dragsted (EL):,567
"Ministeren for by, bolig og landdistrikter (Carsten Hansen):",563
Holger K. Nielsen (SF):,559
Özlem Sara Cekic (SF):,558
Bjarne Laustsen (S):,556
Pia Olsen Dyhr (SF):,548
"Udlændinge-, integrations- og boligministeren (Inger Støjberg):",544
Peter Juel Jensen (V):,543
Liselott Blixt (DF):,542
Kristian Pihl Lorentzen (V):,535
Villum Christensen (LA):,531
Stine Brix (EL):,523
Line Barfod (EL):,522
Jeppe Mikkelsen (RV):,503
Flemming Damgaard Larsen (V):,503
